Name	County	Address	Eircode	LatitudeDD	LongatudeDD	Capacity	Tag
AbbeyBreaffy Nursing Home	Mayo	Dublin Road (N5), Castlebar	F23NY75	53.877612	-9.2250226	55	abbeybreaffy-nursing-home
Abbeygale House	Wexford	Farnogue, Old Hospital Road	Y35HK84	52.3437358	-6.4782733	30	abbeygale-house
Abbey Haven Care Centre & Nursing Home	Roscommon	Carrick Road, Boyle	F52AX24	53.9703135	-8.2916505	63	abbey-haven-care-centre-nursing-home
Abbeylands Nursing Home	Cork	Carhoo, Kildorrery	P67NH76	52.2532665	-8.4351001	50	abbeylands-nursing-home
Abbeyleix Community Nursing Unit	Laois	Ballinakill Road, Abbeyleix	R32FV52	52.9118533	-7.3427872	10	abbeyleix-community-nursing-unit
Abbot Close Care Centre	Limerick	St. Marys Terrace, Askeaton	V94F864	52.6016793	-8.9767441	65	abbot-close-care-centre
Aclare House Nursing Home	Dublin	4/5 Tivoli Terrace South, Dun Laoghaire	A96FX74	53.2891034	-6.1425016	27	aclare-house-nursing-home
Acorn Lodge	Tipperary	Ballykelly, Cashel	E25W528	52.5591248	-7.847781	50	acorn-lodge
Adare and District Nursing Home	Limerick	Adare Road, Croagh	V94TN82	52.5353419	-8.8680505	84	adare-and-district-nursing-home
Ailesbury Private Nursing Home	Dublin	58 Park Avenue, Sandymount	D04Y437	53.3249123	-6.2121858	42	ailesbury-private-nursing-home
Aisling House Nursing Home	Wicklow	Sea Bank, Arklow	Y14X670	52.8189927	-6.1274989	50	aisling-house-nursing-home
Altadore Nursing Home	Dublin	Upper Glenageary Road, Glenageary	A96EW77	53.278521	-6.1298079	62	altadore-nursing-home
Alzheimer's Care Centre	Dublin	Highfield Healthcare, Swords Road, Whitehall	D09H343	53.3783806	-6.2446321	119	alzheimers-care-centre
Amberley Home and Retirement Cottages	Cork	Acres , Fermoy 	P61AP57	52.1525887	-8.3277153	71	amberley-home-and-retirement-cottages
Anam Cara Housing with Care	Dublin	Anam Cara, St Canice's Road, Glasnevin	D11FF10	53.3821462	-6.2747268	56	anam-cara-housing-care
Annabeg Nursing Home	Dublin	Meadow Court, Ballybrack	A96KW54	53.2526847	-6.1292957	41	annabeg-nursing-home
Anna Gaynor House	Dublin	Our Lady’s Hospice & Care Services, Harold's Cross	D6WRY72	53.3265497	-6.2814862	89	anna-gaynor-house
Anovocare Nursing Home	Dublin	Stockhole Lane, Cloghran, Swords	K67T8P0	53.4277314	-6.2140959	112	anovocare-nursing-home
Aperee Living Bantry	Cork	Seafield, Bantry 	P75KT35	51.6722385	-9.4736733	50	aperee-living-bantry
Aperee Living Camp	Kerry	Knockglassmore, Camp, Tralee	V92YY96	52.2256032	-9.8905654	34	aperee-living-camp
Aperee Living Churchtown	Cork	Churchtown, Mallow	P51F519	52.2718314	-8.7359941	50	aperee-living-churchtown
Aperee Living Conna	Cork	Conna, Mallow	P51W110	52.0910604	-8.1042495	50	aperee-living-conna
Aperee Living Galway	Galway	Ballinfoyle, Headford Road	H91HD74	53.2978589	-9.036341	60	aperee-living-galway
Aperee Living Tralee	Kerry	Skahanagh, Tralee	V92AX22	52.2461287	-9.6892256	68	aperee-living-tralee
Araglen House Nursing Home	Cork	Loumanagh, Boherbue, Mallow	P51T990	52.1514629	-9.0850301	91	araglen-house-nursing-home
Aras Chois Fharraige	Galway	Pairc, An Spidéal	H91H9C7	53.2469783	-9.2587798	42	aras-chois-fharraige
Áras Deirbhle Community Nursing Unit	Mayo	Aras Deirbhle, Belmullet Community Hospital, Belmullet	F26K1H9	54.2282824	-9.986336	30	aras-deirbhle-community-nursing-unit
Aras Ghaoth Dobhair	Donegal	Meenaniller, Derrybeg, Letterkenny	F92X295	55.0748195	-8.281463	41	aras-ghaoth-dobhair
Aras Mhathair Phoil	Roscommon	Knockroe, Castlerea	F45X891	53.7625104	-8.4827311	24	aras-mhathair-phoil
Áras Mhic Dara Community Nursing Unit	Galway	Barrarderry, Carraroe	H91AE16	53.2610471	-9.6068507	34	aras-mhic-dara-community-nursing-unit
Aras Mhic Shuibhne	Donegal	Mullinasole, Laghey	F94DV22	54.6037601	-8.1297508	48	aras-mhic-shuibhne
Aras Mhuire Nursing Facility	Louth	Beechgrove, Drogheda	A92HN29	53.7223551	-6.3504003	30	aras-mhuire-nursing-facility
Aras Mhuire Nursing Home	Kerry	Greenville, Listowel	V31WF61	52.4484603	-9.498364	40	aras-mhuire-nursing-home
Áras Ronáin Community Nursing Unit	Galway	Manister, Kilronan, Inishmore, Aran Islands	H91NX90	53.1283495	-9.6861404	12	aras-ronain-community-nursing-unit
Aras Ui Dhomhnaill Nursing Home	Donegal	Milford	F92HX32	55.0704715	-7.6812304	48	aras-ui-dhomhnaill-nursing-home
Archersrath Nursing Home	Kilkenny	Archersrath , Kilkenny	R95VA43	52.6597761	-7.2104131	61	archersrath-nursing-home
Archview Lodge Nursing Home	Donegal	Drumany, Letterkenny	F92KT99	54.9425901	-7.6911799	30	archview-lodge-nursing-home
Ardeen Nursing Home	Tipperary	Abbey Road, Thurles	E41CY91	52.6760116	-7.8281655	36	ardeen-nursing-home
Ard Na Rí Nursing Home	Limerick	Holycross, Bruff	V35P027	52.5005671	-8.5421146	32	ard-na-ri-nursing-home
Arus Breffni Nursing Unit	Leitrim	Arus Breffni Nursing Unit, Manorhamilton	F91Y264	54.3048162	-8.168408	25	arus-breffni-nursing-unit
Arus Carolan Nursing Unit	Leitrim	Castle Street, Mohill	N41R9T3	53.9227034	-7.8641955	36	arus-carolan-nursing-unit
Asgard Lodge Nursing Home	Wicklow	Monument Lane, Kilbride, Arklow	Y14E862	52.8132285	-6.1570627	34	asgard-lodge-nursing-home
Ashbury Nursing Home	Dublin	1A Kill Lane, Kill O'The Grange, Blackrock	A94RK81	53.2801104	-6.1587681	91	ashbury-nursing-home
Ashford House Nursing Home	Dublin	6 Tivoli Terrace East, Dun Laoghaire	A96T853	53.289214	-6.1395604	78	ashford-house-nursing-home-0
Ashlawn House Nursing Home	Tipperary	Carrigatoher, Nenagh	E45FA31	52.8353778	-8.273881	52	ashlawn-house-nursing-home
Ashley Lodge Nursing Home	Kildare	Tully East, Kildare	R51VW22	53.1355233	-6.9009082	55	ashley-lodge-nursing-home
Athlunkard House Nursing Home	Clare	Athlunkard, Westbury	V94C564	52.6833244	-8.5994026	103	athlunkard-house-nursing-home
Atlanta Nursing Home	Wicklow	Sidmonton Road, Bray	A98KW25	53.2009227	-6.102954	43	atlanta-nursing-home
Ave Maria Nursing Home	Mayo	Tooreen, Ballyhaunis	F35AC63	53.8307445	-8.7659587	41	ave-maria-nursing-home
Bailey's Nursing Home	Sligo	Mountain Road, Tubbercurry	F91AX97	54.0498416	-8.7270633	44	baileys-nursing-home
Ballard Lodge	Laois	Ballard Lodge NH, Borris Road, Portlaoise	R32YW82	53.0469908	-7.2821436	24	ballard-lodge
Ballinamore House Nursing Home	Mayo	Ballinamore, Kiltimagh	F12HW70	53.8290423	-9.0421166	51	ballinamore-house-nursing-home
Ballinamore Nursing Unit	Leitrim	Tully, Ballinamore	N41XC92	54.0501775	-7.8028837	20	ballinamore-nursing-unit
Ballinasloe Community Nursing Unit	Galway	Creagh Road, Ballinasloe	H53P2E2	53.3343025	-8.1983357	50	ballinasloe-community-nursing-unit
Ballincollig Community Nursing Unit	Cork	Murphy's Barracks Road, Ballincollig	P31PT10	51.8907081	-8.5892115	100	ballincollig-community-nursing-unit
Ballincurrig Care Centre	Cork	Ballincurrig, Leamlara	T56TC04	51.9918998	-8.2276859	57	ballincurrig-care-centre
Ballinderry Nursing Home	Galway	Ballinderry, Kilconnell, Ballinasloe	H53H973	53.3256811	-8.4049717	42	ballinderry-nursing-home
Ballymote Community Nursing Unit	Sligo	Carrownanty, Ballymote	F56EP48	54.0871994	-8.5181746	32	ballymote-community-nursing-unit
Ballyshannon Community Hospital	Donegal	College Street, Ballyshannon	F94DR40	54.5016411	-8.1840273	60	ballyshannon-community-hospital
Baltinglass Community Hospital	Wicklow	Newtownsaunders, Baltinglass	W91EK59	52.9315169	-6.6791329	54	baltinglass-community-hospital
Bandon Community Hospital	Cork	Hospital Lane, Cloughmacsimon, Bandon	P72W564	51.743994	-8.7245846	25	bandon-community-hospital
Beach Hill Manor Private Nursing Home	Donegal	Lisfannon, Fahan	F93EK06	55.1109421	-7.4656516	48	beach-hill-manor-private-nursing-home
Beaufort House	Meath	HSE Navan Community Health Unit, Beaufort House, Athboy Road, Navan	C15N82V	53.6507165	-6.7006662	44	beaufort-house
Beaumont Residential Care	Cork	Woodvale Road, Beaumont	T12ED00	51.8903751	-8.4227186	73	beaumont-residential-care
Beechfield Manor Nursing Home	Dublin	Shanganagh Road, Shankill 	D18P389	53.2348374	-6.1222189	69	beechfield-manor-nursing-home
Beechlawn House Nursing Home	Dublin	Beechlawn House Nursing Home, High Park, Grace Park Road, Drumcondra	D09YK82	53.378949	-6.2425743	56	beechlawn-house-nursing-home
Beech Lodge Care Facility	Limerick	Kilmallock Road, Bruree	V35E868	52.4230223	-8.6533118	66	beech-lodge-care-facility
Beech Park Nursing Home	Kildare	Dunmurry East, Kildare Town	R51PC58	53.1805758	-6.9150028	47	beech-park-nursing-home
Beechtree Nursing Home	Dublin	Murragh, Oldtown	A45KC97	53.5248252	-6.2865756	79	beechtree-nursing-home
Beechwood House Nursing Home	Limerick	Rathnaneane, Newcastle West	V42P308	52.4479209	-9.0526689	67	beechwood-house-nursing-home
